indice_tiempo,produccion_petroleo_crudo,productos_procesados,petroleo_crudo_procesado,produccion_gasoil,produccion_nafta_comun_mayor83_ron,produccion_nafta_super_mayor93_ron,produccion_nafta_mayor97_ron,produccion_fuel_oil,produccion_mezclas_ifo,produccion_butano,produccion_propano,produccion_aerokerosene,produccion_coque,ventas_gasoil,ventas_nafta_comun_mayor83_ron,ventas_nafta_super_mayor93_ron,ventas_nafta_mayor97_ron,despachos_asfalto
2005-06-01,3204.994766999998,2699.653663280487,2454.490813331604,906.2079999999999,140.97320000000002,238.7608,71.891,251.08584,,80.658,50.64,112.077,126.408,936.5885,42.71879,171.96156,67.80973,59.078
2005-07-01,3311.647357,2728.6182754719257,2469.364275390625,903.2157000000001,156.211,203.30089999999998,131.45520000000002,220.57,,94.767,73.549,132.986,138.247,974.3935,44.89646,184.6113,77.17065,41.346
2005-08-01,3284.9743260000005,2884.534930526733,2693.5430705566405,965.2925999999999,147.7632,247.36229999999998,115.7567,262.788,,91.942,78.987,135.902,134.065,999.6850400000001,45.252489999999995,190.5118,79.49025,54.018
2005-09-01,3079.3406980000022,2885.158439092636,2686.2640211181642,973.0686800000001,170.04479999999998,257.6096,90.618,242.07557,,88.96,76.965,139.159,134.641,1039.28464,44.38813,185.09421,78.03464,47.616
2005-10-01,3073.3932589999968,2891.061033355713,2685.011761352539,980.2579000000001,279.1955,223.0782,80.26589999999999,219.284836,,81.694,83.522,143.993,134.76,1006.7661400000001,45.68938,195.8187,84.86774000000001,60.29
2005-11-01,3101.7621650000015,2801.8596389923096,2629.6489559631345,1013.1921,132.9,306.945,88.085,264.09020000000004,,82.728,76.258,131.966,127.366,1045.7278000000001,43.019769999999994,184.89445,92.40982000000001,61.495
2005-12-01,3219.348407,2991.078,2757.103207519531,1085.3238000000001,150.9241,280.2066,114.95,336.294,,84.371,78.68,118.512,123.214,1109.2601000000002,47.14396,208.43591,101.51238000000001,56.037
2006-01-01,3197.9962880000016,2911.509135372162,2727.2173414058684,1041.9812,80.8552,350.22429999999997,106.914,296.4035,,82.911,77.853,142.531,136.57,966.41938,43.340120000000006,212.46857999999997,104.01365,52.861
2006-02-01,2800.112296,2739.7588183898924,2536.426118408203,988.3033,88.454,285.1979,107.593,269.98474300000004,,79.761,73.192,107.863,125.486,918.8605699999999,38.93778,192.90095000000002,95.55135,50.01
2006-03-01,3251.1854859999985,2967.879010044098,2752.1390239868165,1044.38643,118.212,282.472,160.231,274.12675199999995,,91.181,83.671,140.81297899999998,144.184,1073.4660900000001,41.78576,205.06185,100.83011,63.367
2006-04-01,3146.475086,2874.0471996307374,2685.0362785339357,1036.7505560000002,98.081,246.7635,198.598,290.98818,,83.559,78.729,103.844,130.718,1057.40356,40.14421,198.42604,100.80656,70.625
